"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2283","Проверка перехода на страницу авторизации при успешном создании аккаунта","tests","2026-05-05","passed","2026-05-05","TestCreateAccountPage","Страница 'Создание аккаунта'","",""
"","3341","Проверка отображения карточки рецепта при успешном создании рецепта","tests","2026-05-05","passed","2026-05-05","TestCreateRecipePage","Страница 'Создание рецепта'","",""
"","1232","Проверка успешной авторизации и перехода на страницу 'Рецепты'","tests","2026-05-05","passed","2026-05-05","TestLoginPage","Страница авторизации","",""
